PKG (J),CPU (J),DRAM (J),Time (ms),Temp (C),Size,Input case,CPU - readCSV,Time - readCSV,Memory - readCSV,CPU % of PKG,PKG %,full EC,nlog(n)
6.002130508422852,5.216763496398926,0.3301115036010742,592.9256718749999,72.796875,400000.0,random5,0.6380745315551755,65.99607187499987,0.044681816101074245,86.91519601378523,100,0.6827563476562497,7443856.189774725
6.451145606704905,5.599216895767405,0.36223901676226267,649.9073417721518,71.49367088607595,500000.0,random5,0.8374833493658898,93.62509934790944,0.06654402978309598,86.7941484679549,100,0.9040273791489857,9465784.284662087
7.0341064453125,6.119276428222657,0.39824981689453126,733.498625,67.075,600000.0,random5,1.0005325317382816,123.89350735294113,0.08350408217486216,86.99436773949472,100,1.0840366139131437,11516761.78509478
7.729548645019531,6.71998291015625,0.4248870849609375,831.4828499999998,67.8,700000.0,random5,1.1222897178248354,159.0964815789472,0.0785286351254112,86.938878565519,100,1.2008183529502467,13591896.77754609
8.258811257102273,7.185533928148674,0.44285444779829547,894.0682424242423,68.15151515151516,800000.0,random5,0.6495231859611739,113.46007575757585,0.054423322581281575,87.00445747527381,100,0.7039465085424554,15687712.37954945
8.693453543526786,7.557069614955357,0.46873256138392855,953.5003714285714,66.02857142857142,900000.0,random5,0.8817378056513796,140.96376536796527,0.07880854090570882,86.92827973507042,100,0.9605463465570885,17801608.928291213
9.115461349487305,7.914365768432617,0.48926353454589844,1021.94625,66.5,1000000.0,random5,0.8437709808349609,152.96590624999988,0.07791519165039062,86.8235349259394,100,0.9216861724853516,19931568.569324173
2.213193978836287,1.9161950865788246,0.13175486094916045,223.49279104477614,65.0,25000.0,random6,0.12628855756096757,6.151876759061821,0.00996356630630331,86.58053044163681,100,0.13625212386727087,365241.0118609203
2.7874973244863015,2.420250461526113,0.1650081268728596,274.09409589041087,66.9041095890411,50000.0,random6,0.2314390304661469,16.898447241762256,0.018164139330629853,86.8252120016701,100,0.24960316979677674,780482.0237218406
3.382869519685444,2.9415821276212992,0.19980581183182566,326.39624999999995,69.8157894736842,75000.0,random6,0.3025368610771815,25.42530882352935,0.023028252663627125,86.9552346167588,100,0.3255651137408086,1214595.2231368476
3.8545144570840373,3.358295337573902,0.22136543892525337,365.3511891891892,71.70270270270271,100000.0,random6,0.3415864373853248,25.93512022367196,0.018446695660167156,87.12628723967667,100,0.36003313304549195,1660964.0474436812
4.9771034934303975,4.34912109375,0.2755228678385417,462.3835606060606,72.89393939393939,200000.0,random6,0.5051161822150734,31.058354723707566,0.030367982153799045,87.38257300638188,100,0.5354841643688724,3521928.0948873623
5.339143589564732,4.644961983816964,0.293963623046875,518.3627,72.45714285714286,300000.0,random6,0.5646145860688021,48.960258823529216,0.03546717026654411,86.99825928816497,100,0.6000817563353462,5458380.89254739
5.7869979616195435,5.022078256758433,0.32063414558531744,581.6131587301588,71.68253968253968,400000.0,random6,0.6008205837673612,67.69433015873028,0.04643109033978171,86.78209824965894,100,0.647251674107143,7443856.189774725
6.45536126030816,5.60648430718316,0.3531138102213542,651.1947777777777,72.625,500000.0,random6,0.4898268493295417,67.8668830409357,0.035236291718064694,86.85004728791155,100,0.5250631410476063,9465784.284662087
6.854879525991587,5.967998798076923,0.37473238431490385,720.2885384615385,69.0,600000.0,random6,0.7341141138321321,104.08177179487188,0.05252372546073719,87.06205230081892,100,0.7866378392928692,11516761.78509478
7.683768717447917,6.688844807942709,0.40821940104166665,829.2665999999997,67.46666666666667,700000.0,random6,0.7855031331380209,133.61649999999963,0.03473002115885415,87.05161560568598,100,0.820233154296875,13591896.77754609
8.375306825380068,7.292135702597128,0.4498769399282095,900.6375135135135,67.48648648648648,800000.0,random6,0.9777813964215332,144.87489446589439,0.07431309134189995,87.06708726776961,100,1.052094487763433,15687712.37954945
8.629805281355575,7.496105297191723,0.4610199799408784,953.8104594594593,65.67567567567568,900000.0,random6,0.7431645123905861,125.90412612612579,0.06608182889921171,86.8629714437106,100,0.8092463412897979,17801608.928291213
9.208061218261719,7.990908813476563,0.507940673828125,1025.116325,66.8,1000000.0,random6,1.0525939116606846,156.97727094594575,0.10573713972761828,86.7816647181791,100,1.158331051388303,19931568.569324173
2.2180611746651784,1.916727992466518,0.13323102678571427,227.32460000000006,64.88571428571429,25000.0,random7,0.1040609488809916,0.014494736842181055,0.00787284678982611,86.41456846905282,100,0.11193379567081771,365241.0118609203
2.80314697265625,2.43251220703125,0.1662646484375,276.9699733333335,67.46666666666667,50000.0,random7,0.25343505859374993,15.384890000000155,0.016079169379340286,86.77790464644141,100,0.2695142279730902,780482.0237218406
3.4557304877739448,3.0061447341720777,0.20655565137987014,330.4544285714287,69.84415584415585,75000.0,random7,0.4157325942794996,34.493616071428846,0.033446596814440455,86.9901384036614,100,0.44917919109394006,1214595.2231368476
3.916762893264358,3.414149928737331,0.22359322212837837,369.89213513513516,70.79729729729729,100000.0,random7,0.23286330764358132,20.977192277992344,0.013208526257842662,87.16764383692032,100,0.24607183390142398,1660964.0474436812
